date,Open,High,Low,Close,Volume,NASDAQ_Close,52_week_high,52_week_low
2023-06-09,37.349998474121094,38.10499954223633,35.81999969482422,36.29999923706055,17544000,13259.1396484375,58.470001220703125,21.5
2023-06-12,36.27000045776367,37.400001525878906,35.560001373291016,35.9900016784668,14011700,13461.919921875,58.470001220703125,21.5
2023-06-13,36.65999984741211,39.36000061035156,36.4900016784668,38.58000183105469,28133400,13573.3203125,58.470001220703125,21.5
2023-06-14,38.7599983215332,42.345001220703125,38.25,41.040000915527344,36951100,13626.48046875,58.470001220703125,21.5
2023-06-15,40.67499923706055,42.130001068115234,40.31999969482422,41.66999816894531,18364200,13782.8203125,58.470001220703125,21.5
2023-06-16,42.619998931884766,45.06999969482422,41.88999938964844,42.560001373291016,32813700,13689.5703125,58.470001220703125,21.5
2023-06-20,42.0,43.790000915527344,39.349998474121094,40.0099983215332,23543700,13667.2900390625,58.470001220703125,21.5
2023-06-21,39.880001068115234,40.29999923706055,37.529998779296875,38.36000061035156,17480900,13502.2001953125,58.470001220703125,21.5
2023-06-22,37.63999938964844,38.70000076293945,37.45000076293945,37.849998474121094,11382700,13630.6103515625,58.470001220703125,21.5
2023-06-23,37.0099983215332,37.78200149536133,36.448001861572266,37.470001220703125,12663800,13492.51953125,58.470001220703125,21.5
2023-06-26,37.130001068115234,37.724998474121094,36.20000076293945,36.72999954223633,9555400,13335.7802734375,58.470001220703125,21.5
2023-06-27,38.9900016784668,42.599998474121094,38.79999923706055,42.380001068115234,33732700,13555.669921875,58.470001220703125,21.5
2023-06-28,42.70000076293945,44.47999954223633,41.88999938964844,44.119998931884766,22007300,13591.75,58.470001220703125,21.5
2023-06-29,44.54999923706055,44.54999923706055,42.86000061035156,43.68000030517578,13520400,13591.330078125,58.470001220703125,21.5
2023-06-30,44.779998779296875,45.08000183105469,43.2599983215332,43.41999816894531,11375600,13787.919921875,58.470001220703125,21.5
2023-07-03,43.5,44.220001220703125,43.130001068115234,43.459999084472656,6843400,13816.76953125,58.470001220703125,21.5
2023-07-05,43.29999923706055,43.93000030517578,41.439998626708984,41.58000183105469,11541400,13791.650390625,58.470001220703125,21.5
2023-07-06,40.5,40.790000915527344,39.665000915527344,40.54999923706055,10475000,13679.0400390625,58.470001220703125,21.5
